,Clean_Text,Class
506,hari itu menjadi hari yang penuh kegembiraan dan safia pergi berterima kasih kepada wanita bijaksana yang tinggal di rongga pohon,senang
440,toba sangat gembira karena ternyata ada ikan besar yang tersangkut ikan itu mempunyai sisik sangat indah berwarna keemasan,senang
326,kebingungan ketakutan dan rasa kesal membuat putri bungsu tidak berdaya,takut
181,haha dasar cinderella bodoh kau tinggal di rumah selama kami pergi bersihkan semua ruangan cuci piring dan baju dan kamu sangat jelek,jijik
957,kakek terkejut mendengar permintaan istrinya dia mencoba menolaknya,terkejut
129,raja sangat marah hai para pengawal cari dan temukanlah puteri kuning teriaknya,marah
370,melihat hal tersebut raja sangat senang,senang
474,kedua anak itu benar benar gembira mendapati diri mereka berada di ketinggian yang membuat keduanya dapat memandang daerah daerah yang luas,senang
782,sebaliknya rakyat kecil para petani dan mereka yang menderita amat sedih,sedih
591,syukur anak pertamaku sudah lahir kata ayahnya dengan gembira,senang
350,ia sangat senang karena mendapatkan labu yang lebih besar dari bawang putih,senang
411,tetangga petani sangat senang dan ia pun pergi ke ladang,senang
172,pergi aku tidak suka makanan kampung orangtuaku adalah seorang saudagar kaya bukan gembel seperti kalian seru sang anak sambil membuang makanan pemberian ibunya,jijik
103,sementara sang putri sangat kesal karena telah dua kali keceplosan,marah
0,pangeran empang kuala murka mendengar pinangannya ditolak,marah
522,ia begitu terpesona melihat patung wanita cantik berpakaian indah tersebut,senang
706,putri aji bedarah putih sangat sedih mendapati kekuatan pendukungnya mampu diporakporandakan para prajurit cina,sedih
331,para prajurit yang ketakutan segera berangkat ke hutan dan langsung bekerja keras membuka hutan,takut
71,gagak marah mendengar ejekan rubah la mengeluarkan suara keras kaak,marah
707,putri aji bedarah putih kesulitan menemukan cara untuk mengalahkan para prajurit cina itu ia hampir putus asa,sedih
402,ia pun tersenyum senang melihat rumahnya,senang
225,jika ia bisa menjatuhkan badak dan menghancurkan gajah aku pasti dengan mudah dibunuhnya pikir kelinci,takut
235,mereka semua takut kepada singa,takut
639,bawah putih sangat sedih,sedih
578,baiklah kuberi nama ia kemuning kata raja dengan senang,senang
508,mulanya aku ingin tertawa mendengar ucapannya,senang
439,diadakanlah pesta pernikahan yang megah dan meriah yang dilangsungkan selama tujuh hari tujuh malam dan mereka hidup bahagia selamanya,senang
913,amat terperanjat warga desa setelah mengetahui di dalam rumah peristirahatan yang dibangun raja itu terdapat sekumpulan ular,terkejut
555,ah alangkah bahagianya kedua ikan ini mereka pastilah sepasang kekasih yang saling mencintai sebentar lagi akupun akan sebahagia mereka pikir putri sambil tersenyum kecil,senang
245,melihat sang anjin itik abu pun ketakutan karena ia takut di makan olehnya,takut
779,ciput menjawab sedih bahwa pak sarba sudah meninggal dunia,sedih
51,dengan penuh amarah penghuni rumah mengambil sapu lalu memukul sang kucing desa sang kucing desa merasa ketakutan dengan kelakuan penghuni rumah dia berlari menjauh darinya,marah
826,angin badai datang tiba tiba dan menghantam kapal besar milik malin kundang itu,terkejut
222,lehermu akan dipenggal algojo kerajaan setelah ayam jagomu kalah,takut
861,petani kaget melihat istrinya berada dalam lubang perangkap,terkejut
329,para putri dan wanita wanita bangsawan menjerit ketakutan,takut
863,sebenarnya rusa terkejut mendengar jawaban kulomang tapi ia tertawa dalam hati,terkejut
87,raja bayang pun sangat marah dengan penolakkan raja hasan wajahnya pun berubah menjadi merah terbakar,marah
417,sang anjing tersenyum bahagia karena dia telah menemukan makanan,senang
476,pada saat bersamaan seorang gadis bisu dan tuli tertawa terpingkal pingkal melihat tingkah jack,senang
981,anteh terkejut ketika tiba tiba di hadapannya muncul pemuda yang tidak dikenalnya,terkejut
643,tak terkirakan kepedihan hati mande rubayah mendapati perlakuan keji anak kandungnya,sedih
816,tiba tiba putrinya yang cantik terseret ke dalam lumpur,terkejut
964,mendengar suara dedaunan para putri terkejut dan segera mengambil selendang masing masing,terkejut
4,akhirnya karena merasa kesal setelah lima hari nenek menyuruh bawang merah pulang tanpa memberi hadiah labu,marah
180,kakak kakaknya yang sangat jahat memanggilnya cinderella yang artinya gadis yang sangat kotor menurut mereka itu adalah panggilan yang cocok untuk cinderella,jijik
424,pesta pemikahan antara si penyumpit dan putri pak raje dilaksanakan dengan meriah,senang
800,purbararang menangis dan minta maaf kepada purbasari,sedih
884,ketika mereka sudah tinggal di pondok itu tiba tiba tersiar kabar bahwa bendahara mengambil alih kedudukan baginda raja betapa terkejutnya permaisuri mendengar berita tersebut,terkejut
90,dengan penuh kejengkelan berteriaklah manuella sambil memandang pohon itu,marah
187,dari kepala istrinya ia melihat asap yang muncul dan kemudian diikuti dengan keluarnya seekor lipan berwarna putih,jijik
586,oh akhirnya pulang juga si lancang seru emaknya dengan gembira,senang
653,ratu memohon dan menangis agar kurcaci tersebut tidak membawa putrinya,sedih
857,saudagar kaget dengan kecerdikan anaknya,terkejut
313,mereka bingung dan takut barangkali datang serangan kedua,takut
565,sesampainya di rumahnya putri melati wangi disambut gembira oleh keluarganya yang mengira putri melati wangi sudah meninggal dunia,senang
920,pak inda sangat terkejut karena letusan keras itu berasal dari rumahnya,terkejut
871,mendengar berita tersebut para ikan sangat terkejut mereka percaya dengan kebohongan sang kuntul,terkejut
240,namun babi sulung tetap bertahan di dalam rumah dengan ketakutan,takut
994,akan tetapi ia dan rombongan terkejut sebab disamping huma yang dibuka para prajurit telah ada pula huma lain yang lebih bagus,terkejut
177,hingga suatu hari mananamakrdi diusir oleh saudara saudaranya karena bau kudisnya sudah tak tertahankan lagi,jijik
465,orang yang dianggap sakti itu disambut gembira oleh rakyat jambi,senang
142,kekesalannya akhirnya memuncak ketika si limbat melaporkan pada majikannya bahwa daging persediaan mereka di rumah sudah hilang dicuri orang,marah
133,karena sudah terlalu lama tak ada yang memakan umpan pancingnya dia jadi kesal dan memutuskan untuk berhenti saja memancing,marah
140,setelah dayang sumbi mengetahui bahwa yang dimakannya adalah si tumang kemarahannya pun memuncak serta merta kepala sangkuriang dipukul dengan sendok yang terbuat dari tempurung kelapa sehingga luka dan diusirlah sangkuriang,marah
865,matanya terbelalak ketika ia melihat kulomang telah menantinya si situ,terkejut
925,i manyambungi sangat terkejut saat mendengar jawaban itu,terkejut
391,tuan pemilik androcles kagum mendengar cerita itu,senang
299,petir menyambar diiringi guntur yang menggelegar begitu putri mengucapkan doanya semua yang ada di situ menjerit ketakutan,takut
466,penduduk sangat gembira karena berhasil menemukan raja jambi yang sakti akhirnya kita mempunyai seorang raja yang sakti dan mampu memimpin negeri ini ujar salah satu penduduk girang,senang
204,darah segar mengalir dari kepala,jijik
475,paga hidup berbahagia bersama si biru dan puluhan bekas perompak yang kesemuanya telah dianggapnya sebagai sahabat,senang
311,tapi mereka menjadi sangat takut karena pada ulang tahun timun mas yang ke sang raksasa datang kembali,takut
134,oleh karena itu maka si ayah jadi sangat marah ketika melihat nasi yang diberikan kepadanya adalah sisa sisa,marah
91,nenek sangat marah mendengar pengakuan si burung pipit,marah
131,ketika is melihat tulang tulang rusa di piringnya dan di piring si bungkuk daging yang empuk bukan main marahnya,marah
689,maafkan aku ayah di tengah perjalanan tadi tiba tiba perutku lapar dan memakan sebagian makanan untuk ayah jawab samosir merasa bersalah,sedih
160,hei perempuan tua berpakaian lusuh siapakah engkau ini hingga berani beraninya engkau memelukku,jijik
607,dia tepesona mendengar suara yang begitu merdu,senang
306,sang kera naik perahu dengan perasaan takut sekali,takut
940,disana ia sangat terkejut karena mendapati tubuh kakaknya sudah terpotong,terkejut
977,betapa terkejutnya mereka di dalam buah itu mereka menemukan bayi perempuan yang sangat cantik,terkejut
11,ketika kucing itu bangun kucing itu sangat kesal telah dibangunkan dari tidurnya dia menggeram dan mencoba mengusir ayam,marah
743,saat itu nelayan tersebut berlutut pada kedua kakinya dan menangis,sedih
481,si raksasa begitu gembira mendapat persembahan putri sesuai janji kera hitam,senang
394,manusia kerdil senang sekali mereka berdua makan dengan lahap,senang
397,sejak saat itu tukang kayu tidak pernah hidup kekurangan lagi,senang
593,dengan gembira dukun memasukkan isi salam itu ke dalam kantong bajunya,senang
878,mang bongsu tercengang seketika ular tersebut berubah wujud menjadi seorang pemuda yang gagah dan tampan,terkejut
322,pada suatu hari istri pangeran sarif merasa takut sekali tinggal sendiri di rumah sebab saat itu dia sedang hamil muda,takut
233,raja gajah pun berpikir jika bulunya sangat besar dan tajam seperti ini bagaimana dengan badannya hatinya seketika menjadi gelisah,takut
362,sebagian penonton yang menjagokan ayam jago cindelaras bersorak sorai gembira,senang
975,si limbat menjadi sangat terkejut tidak pernah diduga majikannya akan tega menuduh dirinya sebagai pencuri,terkejut
623,semakin terluka hati ibunya mendengarnya,sedih
308,seluruh anggota pasukan belanda gemetar ketakutan,takut
317,anteh yang ketakutan berusaha melarikan diri,takut
566,setelah menikah putri melati wangi dan pangeran tanduk rusa hidup berbahagia sampai hari tuanya,senang
995,mendengar hal itu halimah sangat kaget dan terpukul,terkejut
709,setelah keduanya duduk di atas batu kuyung mereka pun mendendangkan lagu kesedihan,sedih
675,ibu dempu merasakan hatinya pedih bukan kepalang la tidak menyangka anak kandungnya tidak mengakuinya sebagai ibu,sedih
741,jhi ge phu sangat sedih karena yakin tidak akan mampu memenuhi tantangan tersebut,sedih
633,ia juga menjelaskan bahwa ayahnya meninggal dunia karena mempertaruhkan nyawanya dalam pertaruhan sabung ayam,sedih
916,para prajurit cina terperanjat mendapati serangan hewan hewan aneh itu,terkejut
796,menghadapi masalah seperti itu prabu tapa agung sering bermuram durja,sedih
413,burung itu sangat senang mencari makanan di sungai yang jernih itu karena ikan ikan sangat berlimpah disana sang kuntul tidak pernah pergi ke sungai lain untuk mencari makanan karena makanan di sungai itu sangat melimpah,senang
269,mereka percaya siapa pun juga yang nekat memasuki hutan itu akan berakhir dengan kematiannya karena dimangsa makhluk makhluk gaib yang menyeramkan itu,takut
703,mereka pun sangat menyesali pertengkaran mereka tersebut,sedih
291,hei jangan ganggu aku wajahmu yang mengerikan membuatku takut seruku,takut
442,penduduk desa bersukacita menghadiri acara itu,senang
365,kuperhatikan dari tadi kau mengejeku aku mendengarnya dengan sangat baik rupanya kau sangat senang berada di atap sana,senang
785,hanya keenam putrinya tidak habis habisnya menyesali diri mereka,sedih
808,mula mula pikirannya terfokus pada keadaan yatim sambil ia mulai memperhatikan linangan air mata ibunya yang diam,sedih
333,gajah gajah semakin berteriak dengan kencang dan tampak ketakutan,takut
287,ketika ia hendak keluar kasim lupa mantra untuk membuka pintu ia berteriak apa saja dan mulai ketakutan,takut
10,salah satu tupai itu marah dia berbicara kepada tupai yang ada didepannya hei apa yang kau lakukan disini ini adalah sarang ku,marah
929,ketika si kucing dan anjing menghadap rohib mereka terkejut karena benda itu sudah ada pada rohib,terkejut
224,ratu pun sangat gelisah bagaimana caranya agar ia dapat mengetahui nama kurcaci tersebut,takut
205,para tentara abrahah kembali dalam keadaan binasa di mana daging daging dari tubuh mereka berceceran di jalan,jijik
728,ia menangis dan menjerit jerit tapi tak seorang pun mendengarnya,sedih
824,hanya dirinya saja yang selamat ketika para perompak itu meninggalkan kapal dagang itu seraya membawa seluruh isi kapal dagang yang mereka rampok,terkejut
28,dewa indra lalu menangkap dan melemparkan raja trishanku kembali ke bumi,marah
970,mereka kaget ketika tiba tiba melihat suatu pemandangan aneh tapi nyata di suatu lorong,terkejut
686,o bia mokara mulai merengek karena lapar sambil menangis ia menarik tangan kakaknya ke dapur dan menunjuk telur ikan,sedih
13,rubah itu melihatnya dengan sangat gusar karena banyangannya terlihat menggigit daging yang lebih besar dari dirinya hingga dia ingin sekali merebut daging itu,marah
843,dalam waktu sekejap candra kirana yang cantik rupawan berubah wujud menjadi keong mas,terkejut
157,meskipun demikian ketika beliau keluar pada suatu hari menemui sahabat sahabatnya dan mendapati mereka mengutamakan para nabi dan mendahulukannya atas mereka maka beliau justru menampakkan kemarahan dan wajahnya berubah,marah
855,mendengar anak tersebut raja sangat terkejut ia pun langsung melihat pada tubuhnya,terkejut
320,setelah itu keadaan sepi kembali membuat bulu kuduk meremang,takut
385,rakyat hutan belantara sangat senang mendengar kabar tersebut kehidupan di dalam hutan belantara pun menjadi kembali tentram seperti semula,senang
325,kera takut anak pipit itu terbang,takut
345,dengan kehebatan mereka dan juga bantuan dari para siluman hutan mereka berhasil memenangkan pertempuran,senang
147,aku akan memberikan hukuman yang setimpal pada selirku lanjut baginda dengan murka,marah
609,putri endahwarni juga tampak senang melihat calon suaminya yang sangat gagah dan tampan,senang
524,jhi ge phu terpesona dengan pemandangan di depannya,senang
276,si murid takut jika beelzebub tidak berhenti seluruh yorkshire akan tenggelam,takut
528,dia bergegas masuk ke aula tempat jhi ge phu berada dan dengan ceria menebarkan senyum padanya,senang
777,sambil menangis anak itu berlari pulang menemui ibunya di rumah,sedih
839,raden putra sangat terkejut melihat ayam jago kesayangannya terseok seok kabur dari medan pertarungan,terkejut
438,akhirnya putri serindu menemukan tambatan hatinya baginda raja jungur dan permaisurinya sangat gembira,senang
767,mendengar kata kata suaminya itu sang istri pun menyesal,sedih
393,sejak saat itu pangeran andre dan putri rosebud hidup bahagia selamanya,senang
471,pak inda sangat gembira ketika metihat bubunya sangat banyak ikan yang terjebak di dalam bubunya,senang
221,timun mas amat takut kemudian ia membuka kembali bungkusan kedua,takut
472,dengan hati senang pak inda lalu kembali ke rumahnya,senang
518,betapa gembiranya mereka sekeluarga karena telah lepas dari kemiskinan,senang
560,kehidupan keluarga datu awang sukma sangat bahagia,senang
625,mereka berpegangan tangan dengan sedih karena sebentar lagi akan berpisah dengan adik bungsu mereka,sedih
541,gembira karena merasakan muatannya telah berkurang sehingga beban yang dibawa menjadi lebih ringan sang keledai merasa sangat gembira ketika mereka melanjutkan perjalanan mereka,senang
641,bawang pusih sangat sedih dan ia berjalan menyusuri aliran sungai,sedih
401,ia pun sangat senang melihat rumahnya sudah siap di huni,senang
433,akhirnya setelah menunggu bertahun tahun raja mendapat kabar bahagia bahwa permaisurinya telah hamil,senang
199,seekor kodok yang menjulurkan kepala besarnya yang jelek keluar dari air,jijik
849,putri penggiling gandum tersebut sangat terkejut,terkejut
731,ibunya menangis tapi kemudian berkata tuhan akan menolongmu nak mati dan hidup manusia ada di tangan tuhan,sedih
217,mbok sirni ketakutan tubuhnya menggigil ia ingin berlari menghindari dari terkaman raksasa itu,takut
631,namun ia sangat terpukul karena dilihatnya ketujuh puterinya telah meninggal dunia karena kelaparan,sedih
747,kita harus menguburkannya dengan layak kata kapten dengan penuh duka,sedih
117,raja dan ratu sangat marah mendengar perkataan putra mereka itu jangan mengatur orangtua karena kau telah berbuat salah aku akan menghukummu pergilah dari istana ini usir raja,marah
530,di sanalah mereka hidup bahagia selamanya,senang
649,kambing itu tidak terlihat menyesal dengan perbuatannya malah dia mencoba melepaskan diri dari pasak itu dengan menarik narik pasak itu,sedih
924,amat terperanjat mereka mendapati keadaan desa penyak yang sepi tiada penghuni laksana desa penyak itu desa mati,terkejut
41,tikus yang memarahinya itu semakin marah karena tikus yang sedang makan tidaklah menyaut atau mengungkapkan sepatah katapun dan bahkan dia mengiraukan dirinya,marah
717,air matanya bercucuran ketika melihat enam kakaknya terbang kembali ke kahyangan,sedih
341,bertambahlah jumlah kaum muslim hingga kaum quraisy merasakan ketakutan,takut
915,terperanjatlah suami istri itu ketika mengetahui benda keras yang menyentuh sang suami tersebut ternyata sebuah patung landak yang terbuat dari emas,terkejut
885,raja melihatnya seketika itu ia terkejut melihat kedatangan permaisuri yang telah dibuangnya delapan belas tahun yang lalu dinda,terkejut
231,melihat surat tersebut raja badak sangat gelisah,takut
914,sang suami sangat keheranan mendapati keanehan itu,terkejut
618,purbasari keluar dari gubuk dengan gembira,senang
22,seorang anak bernama juan bertengkar dengan adiknya raul mereka memperebutkan kue pemberian nenek,marah
620,ia terpesona oleh keindahan pakaian yang dilengkapi perhiasan perhiasan yang indah,senang
59,raja sangat kecewa dan marah kemudian ia memerintahkan para pengawa lnya untuk membuang permaisuri ke hutan,marah
380,mereka membawa kerikil sekantung penuh ayo kita bersenang senang kata george,senang
76,ibu mereka yang jengkel langsung menghardik mintalah makanan pada ayah kalian itu,marah
168,enak saja pergi sana kata kakak tertua mengusir,jijik
392,ayah putri rosebud dan para pembesar istana tertawa melihat hidung pangeran andre,senang
556,kalau begitu sebentar lagi akan ada pesta besar donk asyiiiiik seru dayang dayang,senang
963,betapa terkejutnya awang sukma ketika melihat ada orang gadis cantik sedang bermain air,terkejut
699,orangtua putri pukes sangat bersedih tetapi mereka harus melepas anaknya itu pergi,sedih
477,akhirnya jack dan istrinya hidup bahagia selamanya,senang
452,mereka berdua berdansa dengan rasa bahagia pangeran berkata kamu adalah wanita yang selama ini saya cari cinderella sangat bahagia dan lupa waktu,senang
740,jhi ge phu sangat sedih namun apa mau dikata semua sudah suratan takdir,sedih
307,sesekali perahu itu diterjang ombak wajah sang kera menjadi pucat,takut
95,sekarang sang raja dengan marah berkata kepada putrinya,marah
858,paginya saat androcles bangun ia kaget melihat singa membawa bangkai rusa hasil buruannya,terkejut
558,datu awang sukma sangat mengagumi kecantikan putri bungsu,senang
683,ibunya putri jelmaan ikan itu pun sangat sedih,sedih
119,kecuali obi kerbau yang merasa iri pada ucil kancil,marah
819,ayah jadi ayah masih hidup,terkejut
139,karena si tumang tidak menurut sangkuriang marah dan membunuh si tumang,marah
890,ayahnya yang kelelahan dan kelaparan sangat terkejut melihat rantang yang hanya berisi sisa sisa makanan,terkejut
853,koleksi bajunya pun sudah beribu ribu,terkejut
194,alibaba membawa tubuh kasim ke tukang sepatu untuk menjahitnya kembali seperti semula,jijik
144,timbul dendam di hatinya pada anteh,marah
881,putrinya sangat terkejut melihat keadaan ayahnya ia lalu segera menemui si penyumpit untuk meminta tolong,terkejut
488,sang raja sangat sayang dengan dua anjing itu,senang
986,seekor induk pipit yang sedang memberi makan kepada anak anaknya terkejut,terkejut
877,dalam waktu singkat mah bongsu menjadi gadis kaya raya penduduk sekitar merasa heran dengan kekayaaan mah bongsu,terkejut
47,sang gabus tidak melepaskan gigitannya malah dia dengan kuat menggigit leher sang kuntul hingga putus sambil berkata kau mencoba menipu kami kini rasakan akibatnya,marah
587,hatinya yang tadi sudah kesal berubah menjadi gembira karena dia tahu bahwa ikan yang menyambar pancingnya itu adalah ikan yang besar,senang
197,dari mulutnya keluarlah dua ekor ular berbisa dan dua ekor katak,jijik
219,mbok sirni amat ketakutan ia tak mau melepaskan timun mas begitu saja untuk disantap raksasa itu,takut
655,ulat bulu pun keluar dari sarang kelinci sambil tersipu malu,sedih
361,semangat bertarung ayam jago cindelaras sangat besar,senang
954,raja amat heran ketika melihat mista si penjaga kuda sedang menyuapi si hitam,terkejut
949,oh tiba tiba dia terlonjak kaget sebuah jeritan dan mahkluk yang sebesar tumpukan jerami dengan empat kaki yang panjang dan dua telinga yang panjang memiliki ekor panjang menendang nendang ke udara sambil memekik dan tertawa seperti anak yang nakal,terkejut
149,akan tetapi ketika dia melihat air di tepian menjadi keruh setiap itik itu selesai dia pun marah,marah
582,aku bisa melihat teriaknya kegirangan,senang
947,akim terkejut ia memohon kepada mereka untuk membagi sedikit makanannya namun mereka menolak,terkejut
886,sang raja kembali terkejut dan langsung memeluk anak yang dulu ia buang,terkejut
765,hati gadis sedih sekali ia tidak bisa berkata kata air matanya mengalir deras,sedih
178,namun ia terkejut saat membuka bungkusan tersebut isinya hanyalah sisa sisa makanan yang menjijikan,jijik
719,semakin jauh tubuh ibu mereka semakin kerns tangisan empat anak itu,sedih
806,di tengah tengah malam aku merasakan keputus asaan,sedih
444,o bia mokara tertawa gembira hatinya senang karena perutnya telah kenyang ia pun kembali bermain bersama kakaknya,senang
44,tetangga petani menjadi marah istri petani sengaja mau mencelakaiku dengan ular ini pikirnya,marah
883,sang nenek terkejut bertemu dengan orang yang baru dilihatnya selama ini,terkejut
507,upacara pernikahan safia dan pangeran selama hari malan akhirnya safia dan suaminya hidup bahagia selamanya,senang
108,raja sangat marah dengan kekalahannya dengan geram dia memerintahkan para prajuritnya untuk membawa putri naga dengan paksa,marah
296,dari sela jari jari putri yang masih menutupi mukanya mengalir darah segar dengan panik mereka berusaha menghentikannya,takut
123,hingga saat ini kerbau akan marah bila melihat kain berwarna merah,marah
534,pak kosim mendapat sekantung uang emas ia pulang ke rumahnya dengan amat gembira,senang
469,tak terkirakan gembiranya suami istri itu mendapati keajaiban yang mereka alami,senang
74,ia tidak segera memerintahkan para prajuritnya untuk kembali ke cina melainkan memerintahkan segenap kekuatan pendukungnya itu untuk menyerang kerajaan yang dipimpin putri aji bedarah putih,marah
944,apa yang saya lihat itu kata ibunya dengan sangat terkejut saya melihat mutiara dan permata keluar dari mulutmu bagaimana hal ini bisa terjadi anakku,terkejut
386,akhirnya saudagar menikahkan anaknya dengan anak perempuan pandai besi sejak saat itu mereka hidup lebih bahagia,senang
809,muhammad bin abdillah kini menjadi sendiri dan ia dalam keadaan menangis,sedih
239,petani mulai takut kehilangan istrinya,takut
218,ba baiklah apa syaratnya tanya mbok sirni ragu ragu,takut
663,buaya pun menyerah dan berjanji tidak akan mengincar monyet lagi,sedih
674,hancurlah hati kedua orangtua sang anak dengan berucuran air mata mereka meninggalkan kapal sang anak ibunya tak kuasa menahan sedih dan sekaligus amarahnya,sedih
282,tubuhnya langsung gemetar,takut
387,burung unta sangat menyayangi anaknya,senang
334,dan rasa takut itu kini menghinggapi seluruh pasukan,takut
538,dengan gembira mereka cepat cepat menyampaikan ke istana bahwa tempat tersebut telah di bangun,senang
921,keduanya sangat terperanjat ketika mendapati batu kuyung di kebun mereka telah meninggi melebihi tingginya pepohonan,terkejut
829,pada saat itu tiba tiba datang ibu peri,terkejut
961,apa sahut bulan terkejut,terkejut
830,sangat mengejutkan ketika ande ande lumut mengetahui kedatangan kleting kuning ia bergegas menyambutnya,terkejut
510,tampaknya ia senang sekali melihat wajahku yang pucat terkejut,senang
792,ia memeluk dan mencium putrinya sepuas puasnya sambil menangis,sedih
595,dia ikut menyaksikan hidangan seni berupa musik dan tari tarian yang menyenangkan,senang
697,gadis durhaka itu hanya menangis dan menagis menyesali perbuatannya,sedih
158,dengan kemarahan yang sangat hamzah mencari cari abu jahal lalu ia melihatnya sedang duduk duduk di tengah tengah kaumnya,marah
946,aku melongo mendengarnya segera kutarik jeni masuk,terkejut
966,tumenggung terperanjat dan berteriak semua jadi kacau,terkejut
564,dengan gembira obi kerbau pulang ke rumahnya,senang
200,oh tidak jawabnya tidak ada raksasa hanya kodok jelek,jijik
85,tuhan pun murka kepada keduanya karena keserakahan mereka,marah
956,alangkah terkejutnya si kakek ketika kembali ternyata kini rumahnya telah berubah menjadi sebuah rumah yang megah,terkejut
135,amarahnya makin bertambah ketika anaknya mengaku bahwa dia yang memakan sebagian besar dari nasinya itu,marah
268,menurut mereka hutan itu dihuni oleh hantu jin setan dan dedemit yang sangat menyeramkan,takut
942,li hung terperajat namun ia menyadari kesalahannya,terkejut
191,ribuan lipan besar itu terus menyerbu hingga memasuki jung jung,jijik
553,bulan merasa senang lalu katanya kepada bintang bintang lihat teman teman mereka mengagumiku,senang
851,saat kelinci pulang ke sarangnya ia kaget melihat jejak panjang mengarah ke sarangnya,terkejut
330,mereka tunggang langgang melarikan diri dan tidak berani muncul kembali,takut
40,kepiting benar benar geram mendengar cerita ayam ia tak rela sahabatnya diperlakukan seperti itu,marah
364,ketika rubah itu merasa aman dia berjalan dengan wajah terlihat gembira,senang
